D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.764405,0.968592,0.583164,2.0,106.039716,951.270687,106.039716,,,,,,,,1.0
0.686169,0.927903,0.687322,3.0,100.956969,980.30377,100.956969,,,,,,,,1.0
0.737129,0.86049,0.83394,5.0,89.507544,721.10236,89.507544,,,,,,,,1.0
0.662822,0.921341,0.698173,5.0,97.08663,993.139714,97.08663,,,,,,,,1.0
0.688178,0.966526,0.805808,2.0,105.879736,876.152836,105.879736,,,,,,,,1.0
0.784259,0.795947,0.504221,6.0,88.314982,903.008967,88.314982,,,,,,,,1.0
0.789637,0.81125,0.814519,4.0,86.023062,658.166732,86.023062,,,,,,,,1.0
0.764184,0.998122,0.760317,3.0,92.614354,746.231136,92.614354,,,,,,,,1.0
0.759400,0.662242,0.690259,2.0,94.462965,836.487443,94.462965,,,,,,,,1.0
0.790957,0.976983,0.916659,6.0,85.832187,585.369286,85.832187,,,,,,,,1.0
0.774211,1.044302,1.133679,7.0,91.017358,525.140076,91.017358,,,,,,,,1.0
0.639136,1.033408,0.845866,4.0,103.978697,939.230946,103.978697,,,,,,,,1.0
0.788929,0.937896,0.691632,6.0,84.441468,716.579321,84.441468,,,,,,,,1.0
0.692474,0.784858,0.60311,6.0,92.685975,992.834994,92.685975,,,,,,,,1.0
0.791066,0.856756,0.673823,5.0,83.702051,736.309214,83.702051,,,,,,,,1.0
0.710539,0.926596,0.778473,7.0,92.617355,784.701804,92.617355,,,,,,,,1.0
0.691103,0.977967,0.843947,5.0,95.460112,804.143202,95.460112,,,,,,,,1.0
0.723299,0.889952,0.742555,4.0,92.171082,823.434138,92.171082,,,,,,,,1.0
0.778329,0.947711,1.004873,3.0,93.376236,588.048415,93.376236,,,,,,,,1.0
0.770422,1.031361,1.003975,2.0,95.112017,598.699788,95.112017,,,,,,,,1.0
0.756826,0.687606,0.586652,2.0,95.533495,947.486516,95.533495,,,,,,,,1.0
0.727631,0.727378,0.515381,6.0,91.640175,1007.718912,91.640175,,,,,,,,1.0
0.675320,0.973694,0.813774,4.0,98.730804,873.51101,98.730804,,,,,,,,1.0
0.739151,0.945961,0.898424,3.0,95.795255,699.711609,95.795255,,,,,,,,1.0
0.746879,0.885349,0.758763,6.0,87.495495,739.315357,87.495495,,,,,,,,1.0
0.707910,0.741581,0.596599,5.0,90.839383,975.705426,90.839383,,,,,,,,1.0
0.780436,1.014729,1.005734,4.0,90.41862,576.787921,90.41862,,,,,,,,1.0
0.680302,0.91724,0.597798,6.0,95.639328,1042.670721,95.639328,,,,,,,,1.0
0.796042,0.932025,0.79597,5.0,84.135585,647.227335,84.135585,,,,,,,,1.0
0.760430,1.03865,1.074287,7.0,91.517515,560.601313,91.517515,,,,,,,,1.0
0.764405,0.968592,0.583164,7.0,89.523703,851.942323,89.523703,,,,,,,,1.0
0.692064,1.05,0.894122,3.0,100.111158,786.935169,100.111158,,,,,,,,1.0
0.798417,1.05,1.151192,5.0,91.013373,501.6866,91.013373,,,,,,,,1.0
0.800000,0.921341,0.698173,5.0,83.572666,705.151595,83.572666,,,,,,,,1.0
0.688178,0.92618,0.805808,2.0,106.159227,878.219314,106.159227,,,,,,,,1.0
0.646242,0.795947,0.504221,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.789637,0.542741,0.5,4.0,84.708903,908.790065,84.708903,,,,,,,,1.0
0.623053,0.998122,0.760317,3.0,109.129577,1081.708057,109.129577,,,,,,,,1.0
0.759400,0.425932,0.690259,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.786322,0.978167,1.074345,3.0,93.24208,549.238737,93.24208,,,,,,,,1.0
0.774211,1.044302,1.079265,3.0,93.187689,559.453903,93.187689,,,,,,,,1.0
0.800000,1.033408,0.845866,4.0,86.406351,623.568774,86.406351,,,,,,,,1.0
0.707105,0.937896,1.003663,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.692474,0.749104,0.60311,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.726563,0.837449,0.611264,5.0,89.956919,920.565966,89.956919,,,,,,,,1.0
0.763349,0.926596,0.5,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.683738,0.977967,0.5,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.759374,0.889952,0.740959,4.0,88.61279,754.897318,88.61279,,,,,,,,1.0
0.778329,0.947711,1.004873,3.0,93.376236,588.048415,93.376236,,,,,,,,1.0
0.770422,1.05,1.003975,2.0,94.544454,597.52789,94.544454,,,,,,,,1.0
0.756826,0.687606,0.586652,2.0,95.533495,947.486516,95.533495,,,,,,,,1.0
0.727631,0.951583,0.933703,2.0,101.53209,707.287134,101.53209,,,,,,,,1.0
0.675320,0.793434,0.813774,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.739019,0.945961,1.023982,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.685291,0.885349,0.758763,5.0,94.313366,879.628732,94.313366,,,,,,,,1.0
0.768886,1.05,0.907401,4.0,89.820907,636.17477,89.820907,,,,,,,,1.0
0.800000,1.014729,1.005734,5.0,87.363977,545.779892,87.363977,,,,,,,,1.0
0.680302,1.037202,0.849817,2.0,105.583644,853.732211,105.583644,,,,,,,,1.0
