D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.510359,0.417318,0.792624,6.0,155.985037,1634.323715,155.985037,0.011,0.011862,0.420412,0.107316,43.672981,39.0,3.110003682478284,0.0
0.656536,0.449673,1.29208,3.0,160.355967,830.376162,160.355967,0.01475,0.012432,0.61955,0.198341,28.545135,39.0,2.1236607660544218,0.0
0.799988,0.78835,1.069296,2.0,128.211164,601.144701,128.211164,0.016,0.012944,0.282003,0.22786,25.180323,39.0,0.2376152023172123,0.0
0.706506,0.71183,0.968006,4.0,127.713975,791.829179,127.713975,0.0135,0.011356,0.29188,0.19251,29.291784,39.0,0.5161809776115526,0.0
0.649392,0.438573,0.642062,7.0,129.363491,1145.946424,129.363491,0.00975,0.010232,0.29485,0.13141,38.964588,39.0,1.2908480783305436,0.0
0.685260,0.815104,0.584006,7.0,123.893285,1114.042006,123.893285,0.00975,0.009896,0.133141,0.125649,39.971989,39.0,0.09930265023268837,0.0
0.663656,0.515138,1.045732,5.0,134.078472,858.9033,134.078472,0.01225,0.010969,0.451612,0.188325,29.845964,39.0,1.3980459312358957,0.0
0.740645,0.945614,1.02361,5.0,121.769621,679.248932,121.769621,0.01225,0.010526,0.249229,0.217361,26.341342,39.0,0.14661323788536126,0.0
0.660386,0.733809,0.950744,2.0,148.119468,934.197793,148.119468,0.016,0.014314,0.267088,0.171513,32.30243,39.0,0.5572463894865112,0.0
0.643034,0.449263,0.706865,5.0,125.864692,1140.3357,125.864692,0.01225,0.011011,0.30736,0.134315,38.39418,39.0,1.2883520083386073,0.0
0.610833,0.538336,0.514693,6.0,134.965458,1487.507949,134.965458,0.011,0.01072,0.177659,0.090846,47.575143,39.0,1.1754816522348048,0.0
0.554264,0.347736,0.600546,2.0,142.772958,1831.021131,142.772958,0.016,0.014517,0.275028,0.069828,53.138402,39.0,3.3011723806540023,0.0
0.510407,0.550603,1.184527,7.0,175.000548,1289.111482,175.000548,0.00975,0.011438,0.566951,0.157223,34.451275,39.0,2.7536091721740883,0.0
0.744233,0.697979,0.6513,6.0,112.605263,896.741351,112.605263,0.011,0.009869,0.174022,0.154156,34.944159,39.0,0.12886945691377583,0.0
0.708159,0.660735,0.961926,7.0,120.838784,757.156941,120.838784,0.00975,0.009874,0.339553,0.202141,28.074715,39.0,0.692341157545903,0.0
0.514142,0.740009,0.959674,5.0,164.952405,1426.881171,164.952405,0.01225,0.012561,0.314783,0.134249,38.412202,39.0,1.3695289686684287,0.0
0.520571,0.458271,1.079729,7.0,165.37581,1316.629444,165.37581,0.00975,0.011348,0.585913,0.148519,35.887435,39.0,3.0858551005354116,0.0
0.718232,0.517766,1.380256,3.0,151.963236,662.840715,151.963236,0.01475,0.011784,0.598815,0.230253,24.927155,39.0,1.6006827272608823,0.0
0.654789,0.740961,1.040788,4.0,140.069833,871.021164,140.069833,0.0135,0.011822,0.321972,0.188204,29.862662,39.0,0.7107606639603832,0.0
0.718313,0.722681,0.833795,2.0,133.804613,877.860476,133.804613,0.016,0.013585,0.211849,0.166492,33.017003,39.0,0.27242750402421745,0.0
0.534502,0.729558,0.903702,4.0,160.591434,1395.332636,160.591434,0.0135,0.013058,0.281224,0.130981,39.050445,39.0,1.148352958717442,0.0
0.781605,0.562205,0.537096,7.0,115.365653,915.119756,115.365653,0.00975,0.009359,0.165599,0.139343,37.451046,39.0,0.1884271186927223,0.0
