D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.603203,0.575672,0.789294,5.0,103.68125,1097.207497,0.0,0.01225,0.010957,0.286276,0.156136,34.653782,39.0,0.8335041246093148,0.0
0.776839,0.341427,0.765331,3.0,83.390203,745.483132,0.0,0.01475,0.010803,0.37124,0.185035,30.322672,39.0,1.006323128056854,0.0
0.719886,0.340867,1.095408,4.0,98.476291,694.403685,0.0,0.0135,0.010541,0.634636,0.219347,26.174257,39.0,1.8932969222282505,0.0
0.510525,0.827975,1.048395,3.0,138.693808,1269.299482,0.0,0.01475,0.013955,0.31283,0.160704,33.929674,39.0,0.9466223616089205,0.0
0.747058,0.54701,0.924501,3.0,94.979273,699.566324,0.0,0.01475,0.01132,0.320449,0.208468,27.364153,39.0,0.5371615787554924,0.0
0.587612,0.575672,0.864446,3.0,0.0,1138.037194,0.0,0.01475,0.012765,0.301785,0.153951,35.014342,39.0,0.9602665783268703,0.0
0.776839,0.850904,0.940229,3.0,93.151109,623.261899,93.151109,0.01475,0.011227,0.221692,0.22668,25.3513,39.0,0.0,1.0
0.649434,0.340867,1.029224,2.0,0.0,918.895663,0.0,0.016,0.013293,0.543487,0.178603,31.246391,39.0,2.0429891995095266,0.0
0.510525,0.827975,1.048395,2.0,0.0,1274.947986,0.0,0.016,0.015701,0.310095,0.159733,34.080664,39.0,0.9413333500278589,0.0
0.747058,0.54701,0.558051,3.0,0.0,965.11599,0.0,0.01475,0.010933,0.154672,0.13786,37.751362,39.0,0.12194980414913675,0.0
fitness at iteration,1,,,,,94.979273,,,,,,,,0.0
0.603203,0.3,0.996293,4.0,0.0,1029.30501,0.0,0.0135,0.011457,0.658472,0.17028,32.509176,39.0,2.8669955367629787,0.0
0.500000,0.341427,0.803504,4.0,0.0,1629.748509,0.0,0.0135,0.012559,0.470769,0.112085,42.666716,39.0,3.2941254205793906,0.0
0.800000,0.340867,0.562843,5.0,0.0,797.537614,0.0,0.01225,0.009509,0.27482,0.164046,33.407177,39.0,0.6752618168074809,0.0
0.683492,0.529271,0.52044,4.0,0.0,1150.348431,0.0,0.0135,0.010621,0.160178,0.119393,41.168182,39.0,0.397197351802397,0.0
0.794028,0.54701,0.888127,6.0,0.0,602.72162,0.0,0.011,0.009272,0.33255,0.229381,25.058283,39.0,0.4497713411311312,0.0
fitness at iteration,2,,,,,94.979273,,,,,,,,0.0
0.701496,0.546562,0.789294,5.0,0.0,828.033622,0.0,0.01225,0.01019,0.286194,0.184403,30.413872,39.0,0.5520029500604653,0.0
0.776839,0.363797,0.765331,3.0,0.0,743.653088,0.0,0.01475,0.010825,0.350104,0.185575,30.248235,39.0,0.8865903273609055,0.0
0.719886,0.340867,0.972611,4.0,0.0,735.336461,0.0,0.0135,0.010562,0.548281,0.205436,27.717142,39.0,1.6688652427033237,0.0
0.800000,0.827975,1.203573,3.0,0.0,502.592973,0.0,0.01475,0.010995,0.331415,0.273681,21.052565,39.0,0.21095362849448812,0.0
0.603872,0.640131,1.293285,2.0,0.0,848.141043,0.0,0.016,0.01407,0.48947,0.213382,26.817069,39.0,1.2938673365138578,0.0
fitness at iteration,3,,,,,94.979273,,,,,,,,0.0
0.755101,0.3,0.789294,5.0,0.0,735.85865,0.0,0.01225,0.00981,0.488986,0.194332,29.093647,39.0,1.5162402486466457,0.0
0.776839,0.341427,0.962112,3.0,0.0,657.739443,0.0,0.01475,0.010907,0.500128,0.213878,26.753681,39.0,1.3383798240118199,0.0
0.579378,0.740138,0.91663,5.0,0.0,1069.742137,0.0,0.01225,0.011298,0.284677,0.170697,32.451875,39.0,0.6677328834132998,0.0
0.510525,0.827975,1.048395,3.0,0.0,1269.299482,0.0,0.01475,0.013955,0.31283,0.160704,33.929674,39.0,0.9466223616089205,0.0
0.500000,0.54701,0.924501,3.0,0.0,1493.97581,0.0,0.01475,0.013912,0.360505,0.130774,39.112195,39.0,1.7595791974900525,0.0
fitness at iteration,4,,,,,94.979273,,,,,,,,0.0
0.500000,0.575672,0.789294,5.0,0.0,1567.87303,0.0,0.01225,0.012011,0.300399,0.120051,41.04682,39.0,1.5547441029485545,0.0
0.653712,0.341427,0.67961,4.0,0.0,1067.935291,0.0,0.0135,0.010943,0.358146,0.144652,36.553568,39.0,1.475914608854354,0.0
0.719886,0.3,1.095408,3.0,0.0,719.974414,0.0,0.01475,0.011256,0.671713,0.210468,27.138098,39.0,2.19152080126195,0.0
0.510525,0.740138,0.91663,3.0,0.0,1401.136363,0.0,0.01475,0.013889,0.277658,0.139537,37.453808,39.0,0.9898521539089993,0.0
0.702697,0.54701,0.924501,3.0,0.0,784.002429,0.0,0.01475,0.011673,0.327702,0.196249,28.845896,39.0,0.6698276169560099,0.0
fitness at iteration,5,,,,,94.979273,,,,,,,,0.0
Best Solution,,,,,,,,,,,,,,
0.747058,0.54701,0.924501,3.0,94.979273,699.566324,0.0,0.01475,0.01132,0.320449,0.208468,27.364153,39.0,0.5371615787554924,False
