D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.709123,0.694723,0.533541,6.0,92.360461,1027.487956,92.360461,,,,,,,,1.0
0.785153,0.999739,0.866401,5.0,86.308235,625.167283,86.308235,,,,,,,,1.0
0.784269,1.042276,1.066471,6.0,89.572707,538.670615,89.572707,,,,,,,,1.0
0.764521,1.019752,0.767997,2.0,97.771498,752.741444,97.771498,,,,,,,,1.0
0.715770,0.80407,0.571238,6.0,91.277926,972.814374,91.277926,,,,,,,,1.0
0.730579,0.959405,0.541565,5.0,95.10674,1012.697395,95.10674,,,,,,,,1.0
0.765196,0.944049,0.885728,7.0,87.9537,627.460587,87.9537,,,,,,,,1.0
0.717460,1.036226,0.65496,4.0,95.717533,924.947415,95.717533,,,,,,,,1.0
0.732548,0.979268,0.834073,4.0,92.512536,739.297879,92.512536,,,,,,,,1.0
0.757214,1.03739,0.727705,4.0,90.373552,771.874651,90.373552,,,,,,,,1.0
0.749496,1.001728,0.765838,6.0,88.601373,731.832808,88.601373,,,,,,,,1.0
0.716161,0.860547,0.628246,2.0,104.437788,997.037271,104.437788,,,,,,,,1.0
0.734314,0.9751,0.63934,2.0,104.878466,943.516502,104.878466,,,,,,,,1.0
0.693221,1.017354,0.912093,3.0,100.507314,774.356633,100.507314,,,,,,,,1.0
0.689870,1.035493,0.802315,5.0,95.629294,836.494459,95.629294,,,,,,,,1.0
0.706214,1.000214,0.613834,5.0,94.886421,979.700243,94.886421,,,,,,,,1.0
0.790169,0.951166,0.762085,2.0,95.488796,715.541226,95.488796,,,,,,,,1.0
0.749410,0.686247,0.558112,7.0,89.98869,889.870245,89.98869,,,,,,,,1.0
0.726897,1.019223,0.985716,7.0,93.757041,642.901061,93.757041,,,,,,,,1.0
0.799267,0.969452,0.921354,7.0,85.429321,564.473653,85.429321,,,,,,,,1.0
0.717932,0.779169,0.646681,4.0,91.441237,919.86586,91.441237,,,,,,,,1.0
