D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.798595,0.655882,0.537868,5.0,137.580798,985.495548,137.580798,0.01225,0.010217,0.132015,0.118897,41.207829,39.0,0.1669417905161609,0.0
0.757959,0.348447,0.542256,2.0,136.770959,1173.019712,136.770959,0.016,0.012755,0.21757,0.095225,46.553219,39.0,1.478471441935766,0.0
0.712765,0.758703,0.758728,5.0,149.158812,965.062728,149.158812,0.01225,0.010991,0.198859,0.147494,36.016434,39.0,0.34825145429644616,0.0
0.550956,0.686047,0.900712,5.0,192.720067,1411.7154,192.720067,0.01225,0.01258,0.303553,0.121457,40.725166,39.0,1.5697302538029931,0.0
0.777127,0.366966,0.667694,4.0,135.964486,920.124323,135.964486,0.0135,0.010943,0.311478,0.139239,37.440127,39.0,1.2370025639368278,0.0
0.613414,0.765039,0.504338,5.0,173.683989,1686.450422,173.683989,0.01225,0.011532,0.112255,0.066579,54.165875,39.0,1.0749107351648186,0.0
0.667805,0.396154,1.344661,2.0,214.033489,882.94839,214.033489,0.016,0.014229,0.693891,0.18068,30.873322,39.0,2.8404416648217845,0.0
0.782571,0.806323,1.181928,4.0,159.060376,621.182868,159.060376,0.0135,0.011219,0.341865,0.224977,25.453169,39.0,0.5195553323228594,0.0
0.696150,0.619958,1.158179,2.0,192.490536,824.757449,192.490536,0.016,0.014444,0.406054,0.186439,30.062684,39.0,1.1779456015104137,0.0
0.691126,0.924974,0.644805,3.0,166.626208,1198.424116,166.626208,0.01475,0.012703,0.116963,0.108572,43.36769,39.0,0.18927717083405368,0.0
0.655348,0.523216,1.055875,6.0,169.862938,930.026665,169.862938,0.011,0.010972,0.470698,0.173763,31.912872,39.0,1.7088505608213487,0.0
0.576730,0.841344,1.180272,6.0,200.689863,1079.318765,200.689863,0.011,0.011756,0.377991,0.16924,32.592754,39.0,1.2977689442681086,0.0
0.539250,0.984537,0.574449,7.0,194.235771,1930.295962,194.235771,0.00975,0.011479,0.114075,0.065597,54.502022,39.0,1.287138319584409,0.0
0.740333,1.012686,0.899116,4.0,152.861108,809.108942,152.861108,0.0135,0.011571,0.187652,0.177329,31.364093,39.0,0.05821382853340416,0.0
0.600931,0.560673,0.97751,4.0,187.473269,1178.559813,187.473269,0.0135,0.012759,0.382043,0.141278,37.082983,39.0,1.7041931510921733,0.0
0.722072,0.38141,1.240408,6.0,167.319576,736.175797,167.319576,0.011,0.010291,0.728967,0.203813,27.833056,39.0,2.5766462394449814,0.0
0.599406,0.661669,0.504517,2.0,192.961696,1906.794616,192.961696,0.016,0.014818,0.111607,0.052225,59.844405,39.0,1.6715135697978423,0.0
0.553863,0.922326,1.353199,3.0,223.850641,1074.264855,223.850641,0.01475,0.014202,0.430735,0.178805,31.153886,39.0,1.408965073683622,0.0
0.780336,0.818614,1.294655,7.0,154.887654,572.064377,154.887654,0.00975,0.009641,0.413012,0.24513,23.373577,39.0,0.6848692530494024,0.0
0.697848,0.429952,1.281201,7.0,174.003378,754.338405,174.003378,0.00975,0.010083,0.715598,0.206096,27.562936,39.0,2.5051844908515433,0.0
0.501341,0.668295,0.895035,5.0,209.681657,1700.508105,209.681657,0.01225,0.013188,0.314583,0.102958,44.638592,39.0,2.271154342506128,0.0
0.735775,0.811746,1.328809,3.0,178.13611,651.366944,178.13611,0.01475,0.012314,0.413924,0.228287,25.09398,39.0,0.8131737681076892,0.0
0.722561,1.00516,0.571864,3.0,171.190612,1228.35942,171.190612,0.01475,0.012421,0.084116,0.095535,46.472787,39.0,0.19160992307692298,0.0
0.798837,0.335911,0.958684,5.0,140.228779,702.435178,140.228779,0.01225,0.010363,0.55853,0.191487,29.380775,39.0,1.9168037516907155,0.0
0.560373,0.947146,1.344945,7.0,214.364582,1047.534127,214.364582,0.00975,0.011277,0.419504,0.181683,30.735774,39.0,1.4443970864085252,0.0
0.741104,0.653147,0.867778,2.0,166.093038,879.322132,166.093038,0.016,0.013923,0.243966,0.159013,34.121309,39.0,0.534251916509971,0.0
0.705376,0.535685,0.749188,2.0,163.368731,1077.348245,163.368731,0.016,0.013972,0.235772,0.126506,39.790148,39.0,0.8839820839323725,0.0
0.600381,0.402165,0.769376,7.0,174.344092,1299.753681,174.344092,0.00975,0.011054,0.416972,0.120744,40.858908,39.0,2.618986515048614,0.0
0.522413,0.339876,0.608832,5.0,190.17554,1998.015667,190.17554,0.01225,0.012563,0.35361,0.065162,54.652657,39.0,4.852893627665294,0.0
0.600593,0.810891,0.627463,7.0,173.265683,1460.750107,173.265683,0.00975,0.010971,0.158087,0.097628,45.936152,39.0,0.9084227662982597,0.0
0.798595,0.655882,1.287244,5.0,158.846626,575.772622,158.846626,0.01225,0.010346,0.463051,0.237968,24.075542,39.0,0.9458540644120217,0.0
0.508939,0.348447,0.542256,7.0,207.425106,2152.751909,207.425106,0.00975,0.011912,0.325036,0.0579,57.366461,39.0,5.266180387970398,0.0
0.712765,0.758703,0.758728,4.0,152.557181,983.361154,152.557181,0.0135,0.011632,0.191625,0.143446,36.699336,39.0,0.3358685498375696,0.0
0.654531,0.686047,1.087691,5.0,175.923776,913.160742,175.923776,0.01225,0.011562,0.377321,0.177819,31.295102,39.0,1.1219386004870122,0.0
0.709059,0.757739,0.667694,4.0,151.76557,1083.909285,151.76557,0.0135,0.011556,0.157974,0.124009,40.241497,39.0,0.3057246675175149,0.0
0.613414,0.765039,0.504338,5.0,173.683989,1686.450422,173.683989,0.01225,0.011532,0.112255,0.066579,54.165875,39.0,1.0749107351648186,0.0
0.667805,0.396154,0.917959,7.0,161.628101,966.641846,161.628101,0.00975,0.010501,0.514495,0.161094,33.799761,39.0,2.265273438720288,0.0
0.568471,1.05,1.080165,2.0,200.947318,1159.896018,200.947318,0.016,0.016034,0.270727,0.156566,34.524408,39.0,0.7312762493506337,0.0
0.800000,0.619958,1.158179,2.0,170.160301,637.343781,170.160301,0.016,0.013407,0.384547,0.213638,26.696994,39.0,0.7999934468587051,0.0
0.765714,1.05,0.644805,4.0,150.707772,981.956246,150.707772,0.0135,0.011207,0.101047,0.128892,39.369246,39.0,0.009467846153846073,0.0
0.655348,0.523216,1.055875,6.0,169.862938,930.026665,169.862938,0.011,0.010972,0.470698,0.173763,31.912872,39.0,1.7088505608213487,0.0
0.576730,0.841344,1.180272,6.0,200.689863,1079.318765,200.689863,0.011,0.011756,0.377991,0.16924,32.592754,39.0,1.2977689442681086,0.0
0.539250,0.984537,0.574449,7.0,194.235771,1930.295962,194.235771,0.00975,0.011479,0.114075,0.065597,54.502022,39.0,1.287138319584409,0.0
0.740333,1.012686,0.899116,3.0,157.045009,818.270209,157.045009,0.01475,0.012504,0.183549,0.174988,31.719218,39.0,0.04892335474432524,0.0
0.600931,0.560673,0.97751,5.0,182.08985,1157.478603,182.08985,0.01225,0.012013,0.3959,0.145112,36.41967,39.0,1.7282374993108773,0.0
0.772765,0.760409,1.240408,7.0,153.419199,598.333411,153.419199,0.00975,0.009729,0.417087,0.236663,24.209692,39.0,0.7623667408931686,0.0
0.599406,0.661669,0.5,4.0,176.720083,1794.031545,176.720083,0.0135,0.012282,0.12586,0.060589,56.305356,39.0,1.5210018297660022,0.0
0.713986,0.922326,1.353199,3.0,177.888655,666.509177,177.888655,0.01475,0.012423,0.39584,0.229934,24.916919,39.0,0.721537484669514,0.0
0.800000,0.818614,1.294655,7.0,151.456388,545.931801,151.456388,0.00975,0.009528,0.409255,0.25059,22.867938,39.0,0.6331657288798436,0.0
0.534987,1.05,1.281201,7.0,219.461121,1167.834294,219.461121,0.00975,0.011658,0.361108,0.168414,32.71321,39.0,1.3078329734959862,0.0
0.501341,0.812854,1.067219,3.0,235.807337,1538.743526,235.807337,0.01475,0.015408,0.330381,0.123242,40.392247,39.0,1.7591537982614707,0.0
0.800000,0.811746,1.328809,2.0,166.487843,556.990623,166.487843,0.016,0.013122,0.401098,0.245561,23.331169,39.0,0.6333945536954159,0.0
0.722561,1.00516,0.571864,2.0,184.80578,1262.964613,184.80578,0.016,0.013987,0.079606,0.089833,47.782012,39.0,0.2251797948717949,0.0
0.798837,0.309662,1.159982,5.0,149.443983,645.553537,149.443983,0.01225,0.010258,0.755692,0.210925,27.001585,39.0,2.582752163091146,0.0
0.560373,0.719599,1.344945,7.0,216.683179,1070.592831,216.683179,0.00975,0.011245,0.529043,0.177077,31.412341,39.0,2.1205917702566346,0.0
0.780004,0.445005,0.867778,2.0,152.070337,825.891081,152.070337,0.016,0.01328,0.329642,0.161505,33.73015,39.0,1.0410637441565276,0.0
0.705376,0.535685,0.749188,2.0,163.368731,1077.348245,163.368731,0.016,0.013972,0.235772,0.126506,39.790148,39.0,0.8839820839323725,0.0
0.600381,0.3,0.769376,3.0,170.759162,1436.360252,170.759162,0.01475,0.013296,0.458582,0.100781,45.153257,39.0,3.7080581157867316,0.0
0.562372,1.05,0.608832,5.0,190.001872,1779.219327,190.001872,0.01225,0.012236,0.10709,0.072212,52.390411,39.0,0.8263383879417727,0.0
0.678517,0.810891,0.627463,5.0,155.373006,1204.792157,155.373006,0.01225,0.011132,0.141596,0.111198,42.802748,39.0,0.37087458502159,0.0
fitness at iteration,1,,,,,173.265683,,,,,,,,0.0
0.798595,0.655882,1.4,5.0,166.155213,552.47587,166.155213,0.01225,0.010196,0.51894,0.24802,23.101404,39.0,1.0923312636077733,0.0
0.757959,0.348447,1.267232,2.0,182.009798,727.97957,182.009798,0.016,0.013312,0.676547,0.195305,28.891068,39.0,2.464053659660531,0.0
0.679572,0.876217,0.758728,4.0,160.261957,1071.783726,160.261957,0.0135,0.011946,0.169648,0.135504,38.136516,39.0,0.2519778013933166,0.0
0.550956,0.686047,1.057657,7.0,197.096223,1248.723537,197.096223,0.00975,0.011577,0.403693,0.147501,36.023177,39.0,1.894696044672966,0.0
0.500000,0.682756,0.667694,4.0,203.625128,2085.504729,203.625128,0.0135,0.013736,0.195731,0.065321,54.598386,39.0,2.4135880543818873,0.0
