D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.686842,0.891904,0.712347,3.0,100.235662,951.716138,100.235662,,,,,,,,1.0
0.711090,0.783173,0.572399,5.0,91.626044,999.36778,91.626044,,,,,,,,1.0
0.750662,0.723827,0.657882,6.0,86.148214,805.26953,86.148214,,,,,,,,1.0
0.778318,0.82546,0.816411,2.0,96.312875,700.995651,96.312875,,,,,,,,1.0
0.713054,0.958479,0.879702,6.0,92.841557,727.708954,92.841557,,,,,,,,1.0
0.774513,0.974275,0.912959,6.0,87.248922,609.878731,87.248922,,,,,,,,1.0
0.687933,0.927315,0.803609,7.0,95.22617,814.77955,95.22617,,,,,,,,1.0
0.781784,0.919667,0.702751,3.0,90.858695,761.227598,90.858695,,,,,,,,1.0
0.752917,0.847671,0.722051,5.0,86.800826,766.193463,86.800826,,,,,,,,1.0
0.742172,0.88724,0.561291,7.0,91.098182,917.047083,91.098182,,,,,,,,1.0
0.772327,0.779875,0.753901,3.0,90.219575,738.79028,90.219575,,,,,,,,1.0
0.787823,0.982803,0.710944,3.0,90.981779,745.099478,90.981779,,,,,,,,1.0
0.782273,1.015826,0.667423,2.0,99.603359,814.105398,99.603359,,,,,,,,1.0
0.672162,0.821275,0.638401,2.0,108.40148,1103.149484,108.40148,,,,,,,,1.0
0.686838,1.034796,0.83204,3.0,100.607886,843.360693,100.607886,,,,,,,,1.0
0.768008,0.791797,0.525911,4.0,90.785536,947.79715,90.785536,,,,,,,,1.0
0.757800,1.045206,1.117838,3.0,95.29881,567.163548,95.29881,,,,,,,,1.0
0.652243,1.01972,0.667765,6.0,99.628298,1045.310325,99.628298,,,,,,,,1.0
0.797591,0.668877,0.64708,6.0,82.335823,728.680002,82.335823,,,,,,,,1.0
0.723539,1.029771,0.654657,5.0,92.616477,893.625962,92.616477,,,,,,,,1.0
0.667254,0.891298,0.613882,4.0,99.516355,1098.875168,99.516355,,,,,,,,1.0
0.764546,0.864511,0.921423,4.0,90.54463,640.509956,90.54463,,,,,,,,1.0
0.665050,0.920008,0.686016,6.0,96.392311,983.016204,96.392311,,,,,,,,1.0
0.733777,0.991886,0.7995,7.0,91.21292,727.11171,91.21292,,,,,,,,1.0
0.703872,1.030822,0.851743,3.0,98.698183,792.377567,98.698183,,,,,,,,1.0
0.754813,0.9871,0.566118,5.0,92.113421,925.164335,92.113421,,,,,,,,1.0
0.753601,1.049591,0.693626,7.0,90.346071,770.181233,90.346071,,,,,,,,1.0
0.728692,1.02683,0.992417,3.0,97.206385,664.24138,97.206385,,,,,,,,1.0
0.706777,0.916791,0.776227,4.0,94.391932,831.874155,94.391932,,,,,,,,1.0
0.748282,1.004724,0.521626,6.0,94.13222,987.473488,94.13222,,,,,,,,1.0
0.644752,0.808927,0.5,4.0,0.0,0.0,0.0,,,,,,,,1.0
0.711090,1.05,0.857712,2.0,101.631069,781.686869,101.631069,,,,,,,,1.0
0.633438,0.723827,0.657882,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.733057,0.82546,0.828504,3.0,95.587485,758.121524,95.587485,,,,,,,,1.0
0.658647,0.624205,0.61505,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.672262,0.926829,0.912959,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.662200,0.927315,0.679601,7.0,98.024903,983.053988,98.024903,,,,,,,,1.0
0.800000,0.919667,0.702751,2.0,95.346667,747.923654,95.346667,,,,,,,,1.0
0.752917,0.945335,0.722051,6.0,87.513422,755.854106,87.513422,,,,,,,,1.0
0.742172,1.03808,0.561291,7.0,93.023769,933.379609,93.023769,,,,,,,,1.0
0.772327,1.005566,0.944896,3.0,92.445959,620.605405,92.445959,,,,,,,,1.0
0.787823,0.982803,0.710944,3.0,90.981779,745.099478,90.981779,,,,,,,,1.0
0.718436,0.725298,0.667423,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.672162,0.821275,0.638401,3.0,101.499673,1074.16087,101.499673,,,,,,,,1.0
0.686838,0.86942,0.83204,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.742057,1.05,0.655643,7.0,91.686511,826.825069,91.686511,,,,,,,,1.0
0.757800,1.045206,0.814315,3.0,92.978026,717.641509,92.978026,,,,,,,,1.0
0.652243,1.01972,1.146505,2.0,0.0,0.0,0.0,,,,,,,,1.0
