D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.757752,0.818891,1.039916,2.0,101.940624,617.685726,101.940624,0.016,0.012725,0.266226,0.234635,24.507168,39.0,0.134638907238903,0.0
0.508971,0.467876,1.239434,5.0,143.101374,1225.358844,143.101374,0.01225,0.011836,0.634391,0.169271,32.655384,39.0,2.7477831406442923,0.0
0.628781,0.747029,1.317044,3.0,125.364066,755.266055,125.364066,0.01475,0.012273,0.450865,0.231274,24.865533,39.0,0.9494841616437646,0.0
0.786359,0.671346,0.719144,3.0,87.183144,741.307655,87.183144,0.01475,0.010929,0.179623,0.183602,30.522335,39.0,0.0,1.0
0.553196,0.492087,1.286609,4.0,139.091618,1033.454946,139.091618,0.0135,0.012025,0.612482,0.187961,29.934288,39.0,2.258558956379249,0.0
0.743050,0.82255,1.214636,5.0,99.245174,564.109163,99.245174,0.01225,0.009983,0.359527,0.262423,21.947239,39.0,0.3700285417055668,0.0
0.691054,0.493381,0.994008,6.0,95.984017,737.315455,95.984017,0.011,0.009866,0.446693,0.214605,26.678664,39.0,1.0814659490692202,0.0
0.693375,1.004971,1.297235,5.0,108.206355,608.418145,108.206355,0.01225,0.010281,0.343356,0.26075,22.088648,39.0,0.31680153403643346,0.0
0.618756,0.431115,0.859125,5.0,102.7155,1009.468331,102.7155,0.01225,0.010809,0.414287,0.168892,32.704724,39.0,1.4529699452904818,0.0
0.597677,0.954757,1.013854,5.0,112.611843,934.490478,112.611843,0.01225,0.011205,0.261019,0.193199,29.244218,39.0,0.3510370136491389,0.0
0.692249,0.431052,1.113274,6.0,99.65697,700.864688,99.65697,0.011,0.009799,0.579657,0.226244,25.403587,39.0,1.562087834373508,0.0
0.737281,0.786965,1.375879,6.0,104.304176,532.416359,104.304176,0.011,0.009412,0.455003,0.280343,20.553375,39.0,0.6230225117088708,0.0
0.762410,0.434159,1.010873,5.0,89.789055,623.123616,89.789055,0.01225,0.009808,0.477776,0.231116,24.874898,39.0,1.0672562695789127,0.0
0.708572,0.927755,1.02353,4.0,99.017718,684.098525,99.017718,0.0135,0.010903,0.25082,0.226446,25.380559,39.0,0.10763714086360536,0.0
0.749627,0.945912,0.592124,2.0,105.705832,969.788911,105.705832,0.016,0.012573,0.088105,0.136169,38.064592,39.0,0.0,1.0
0.682005,0.314661,1.142613,2.0,112.352803,801.689553,112.352803,0.016,0.012886,0.65302,0.197959,28.628093,39.0,2.298763885451028,0.0
0.543081,0.437163,0.895177,7.0,115.883233,1223.054992,115.883233,0.00975,0.010683,0.477069,0.155387,34.778342,39.0,2.1575339409431002,0.0
0.762092,0.888148,0.780115,4.0,88.583243,722.639451,88.583243,0.0135,0.010417,0.164539,0.196308,28.835506,39.0,0.0,1.0
0.582649,0.728877,1.251627,2.0,136.045745,903.421206,136.045745,0.016,0.014424,0.432998,0.206828,27.561083,39.0,1.0935173187382752,0.0
0.698657,0.343278,0.786154,2.0,93.731001,927.360999,93.731001,0.016,0.012585,0.370087,0.16069,33.924362,39.0,1.3031115813056195,0.0
0.503145,0.767672,1.145563,3.0,146.066403,1247.845905,146.066403,0.01475,0.014021,0.380218,0.167747,32.874007,39.0,1.2666157964076852,0.0
0.531508,0.404131,0.682565,2.0,119.243419,1672.471324,119.243419,0.016,0.01448,0.286385,0.09546,46.544322,39.0,2.1934965318055086,0.0
0.670347,0.678532,0.924593,6.0,96.889537,798.953135,96.889537,0.011,0.010056,0.307684,0.202734,28.042666,39.0,0.5176734045596694,0.0
0.588861,0.859663,1.068135,2.0,125.898994,957.489445,125.898994,0.016,0.014518,0.297774,0.191049,29.521981,39.0,0.5586263209961841,0.0
0.521904,0.797912,0.582468,3.0,125.966996,1835.858312,125.966996,0.01475,0.013275,0.126514,0.080416,50.168194,39.0,0.8596080792392378,0.0
0.606702,0.799974,1.18119,7.0,113.147846,819.405678,113.147846,0.00975,0.010136,0.398027,0.220769,26.029919,39.0,0.8409937243363831,0.0
0.566586,0.887969,1.093808,4.0,123.628887,1000.217968,123.628887,0.0135,0.012191,0.311066,0.189912,29.672863,39.0,0.6379481022789503,0.0
0.663932,1.038331,0.904254,6.0,100.020029,815.200091,100.020029,0.011,0.010196,0.199793,0.200285,28.339135,39.0,0.0,1.0
0.707927,0.649542,0.548709,4.0,91.947564,1050.706821,91.947564,0.0135,0.010503,0.136481,0.131623,38.946538,39.0,0.03690844305326578,0.0
0.717980,0.405337,0.959079,2.0,101.607808,776.500121,101.607808,0.016,0.01272,0.417163,0.193572,29.191236,39.0,1.155079246998533,0.0
0.756693,0.926981,0.682567,6.0,87.098146,779.664207,87.098146,0.011,0.009448,0.136268,0.181013,30.890555,39.0,0.0,1.0
0.574847,0.467876,1.239434,4.0,131.175096,981.719999,131.175096,0.0135,0.011823,0.602493,0.19085,29.54871,39.0,2.1568928477862195,0.0
0.500000,0.55204,1.317044,3.0,160.494832,1233.399332,160.494832,0.01475,0.013761,0.583299,0.17183,32.290319,39.0,2.3946284118023624,0.0
0.786359,1.05,0.719144,7.0,87.356453,694.131433,87.356453,0.00975,0.009073,0.130714,0.198301,28.579918,39.0,0.0,1.0
0.758886,0.492087,0.762214,4.0,85.839622,749.045771,85.839622,0.0135,0.01031,0.280168,0.189167,29.763454,39.0,0.48106170738025117,0.0
0.739308,0.365829,1.185279,5.0,97.926889,619.861384,97.926889,0.01225,0.009837,0.680737,0.239732,23.994888,39.0,1.8395750254450804,0.0
0.511181,0.493381,0.994008,6.0,125.822578,1314.049624,125.822578,0.011,0.0114,0.480447,0.153037,35.171051,39.0,2.1745049844040696,0.0
0.693375,0.829901,1.297235,2.0,112.828327,622.060485,112.828327,0.016,0.013018,0.398228,0.254925,22.583934,39.0,0.5621378836912818,0.0
0.593954,0.962349,0.859125,5.0,108.97574,1053.063402,108.97574,0.01225,0.011191,0.201273,0.168585,32.749597,39.0,0.19389625411513475,0.0
0.597677,0.954757,1.013854,2.0,120.197997,952.554569,120.197997,0.016,0.014381,0.251361,0.188879,29.809521,39.0,0.3308043774056407,0.0
0.692249,0.431052,1.113274,5.0,101.308075,713.753441,101.308075,0.01225,0.010232,0.559332,0.222095,25.870754,39.0,1.5184358044980755,0.0
0.737281,0.786965,1.045031,3.0,100.425323,643.130159,100.425323,0.01475,0.011533,0.286172,0.231581,24.827365,39.0,0.23573177419563768,0.0
0.551741,0.434159,1.010873,5.0,119.685582,1156.487562,119.685582,0.01225,0.01145,0.519464,0.164096,33.409888,39.0,2.165610374414977,0.0
0.734039,1.05,1.02353,4.0,95.314193,636.049327,95.314193,0.0135,0.010714,0.221769,0.235246,24.446052,39.0,0.0,1.0
0.749627,0.759991,1.193029,6.0,95.508428,556.491509,95.508428,0.011,0.009499,0.383279,0.263692,21.842508,39.0,0.45351015578781306,0.0
0.682885,0.314661,1.254433,4.0,110.173667,730.981807,110.173667,0.0135,0.010668,0.80436,0.219724,26.13682,39.0,2.6607744260981954,0.0
0.543081,0.3,1.4,7.0,143.812299,1058.74563,143.812299,0.00975,0.010245,1.067465,0.186695,30.106102,39.0,4.766010887465824,0.0
0.762092,0.888148,1.4,4.0,104.160284,494.874823,104.160284,0.0135,0.010218,0.409863,0.290881,19.747007,39.0,0.40904012293687103,0.0
0.582649,0.903789,0.5,4.0,118.936595,1655.474152,118.936595,0.0135,0.011608,0.086265,0.079114,50.504305,39.0,0.38537073271416833,0.0
0.698657,0.343278,0.614954,2.0,88.999459,1071.926871,88.999459,0.016,0.012324,0.266067,0.13014,39.212815,39.0,1.0499242914139801,0.0
0.664961,0.455623,1.38868,4.0,121.368387,707.154211,121.368387,0.0135,0.010775,0.686583,0.233581,24.621186,39.0,1.939378630967416,0.0
0.523667,0.8033,0.682565,4.0,119.765337,1591.998818,119.765337,0.0135,0.012392,0.168713,0.107518,43.651246,39.0,0.6884232306070635,0.0
