D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.665308,0.957094,1.30504,6.0,111.205865,654.219989,0.0,0.011,0.010002,0.370194,0.252608,22.790028,39.0,0.4654880288826958,0.0
0.711536,1.034539,1.277491,4.0,104.563525,583.387815,0.0,0.0135,0.010737,0.32444,0.265034,21.734667,39.0,0.22414482670147987,0.0
0.660641,0.316862,0.735678,6.0,96.612384,962.51604,0.0,0.011,0.01005,0.460742,0.164838,33.294471,39.0,1.795120057268348,0.0
0.528167,0.547196,0.938246,5.0,121.75865,1284.513503,0.0,0.01225,0.011758,0.391368,0.150964,35.52291,39.0,1.5924591293288468,0.0
0.544942,0.896984,0.759996,3.0,122.161618,1391.161175,0.0,0.01475,0.013302,0.171536,0.127386,39.694168,39.0,0.36438357651668024,0.0
0.674061,0.957094,0.593078,6.0,97.134758,1070.888364,97.134758,0.011,0.009887,0.109899,0.137633,37.795689,39.0,0.0,1.0
0.647221,0.3,1.277491,7.0,0.0,766.669378,0.0,0.00975,0.009583,0.959536,0.221166,25.981193,39.0,3.3385330475751243,0.0
0.660641,0.316862,0.864474,5.0,0.0,901.680642,0.0,0.01225,0.010436,0.541901,0.178981,31.190109,39.0,2.027701264380018,0.0
0.528167,0.547196,0.645915,5.0,0.0,1592.35296,0.0,0.01225,0.011551,0.236995,0.105781,44.036135,39.0,1.3695623678322824,0.0
0.544942,0.772827,0.5,3.0,0.0,1893.126547,0.0,0.01475,0.012863,0.101185,0.067153,54.016805,39.0,0.8918292999358142,0.0
fitness at iteration,1,,,,,122.161618,,,,,,,,0.0
0.674061,1.05,0.92205,6.0,99.161998,782.353795,99.161998,0.011,0.010129,0.202516,0.20635,27.612216,39.0,0.0,1.0
0.711536,1.034539,0.5,4.0,0.0,1179.779399,0.0,0.0135,0.010694,0.065928,0.106123,43.953801,39.0,0.12702053846153843,0.0
0.660641,0.316862,1.143956,6.0,0.0,776.314549,0.0,0.011,0.009939,0.785347,0.213026,26.85356,39.0,2.686625106794476,0.0
0.722273,0.547196,0.938246,5.0,0.0,708.581683,0.0,0.01225,0.010101,0.359116,0.213508,26.797213,39.0,0.6819791295876501,0.0
0.544942,0.896984,0.759996,3.0,0.0,1391.161175,0.0,0.01475,0.013302,0.171536,0.127386,39.694168,39.0,0.36438357651668024,0.0
fitness at iteration,2,,,,,122.161618,,,,,,,,0.0
0.500000,1.011294,0.9577,3.0,0.0,1372.116769,0.0,0.01475,0.014073,0.232871,0.148483,35.921933,39.0,0.5683344221223978,0.0
0.568082,1.034539,1.277491,4.0,0.0,889.38306,0.0,0.0135,0.012025,0.35088,0.21675,26.454443,39.0,0.6188235294117649,0.0
0.660641,0.986452,1.4,2.0,0.0,620.867799,0.0,0.016,0.012894,0.420933,0.268297,21.476489,39.0,0.5689068457716635,0.0
0.504226,0.322842,0.5,5.0,0.0,2006.656997,0.0,0.01225,0.01169,0.295018,0.07041,52.978204,39.0,3.5484169074322924,0.0
0.558147,0.896984,1.4,3.0,0.0,881.596318,0.0,0.01475,0.012836,0.458503,0.223084,25.764211,39.0,1.0552930734611177,0.0
fitness at iteration,3,,,,,122.161618,,,,,,,,0.0
0.605557,0.957094,1.4,3.0,0.0,746.324741,0.0,0.01475,0.012274,0.429459,0.243183,23.663636,39.0,0.7659910437818431,0.0
0.500000,1.034539,1.277491,2.0,0.0,1106.142081,0.0,0.016,0.015321,0.381292,0.195454,28.958732,39.0,0.9508017231675997,0.0
0.800000,1.05,0.735678,6.0,84.871895,671.245468,84.871895,0.011,0.009276,0.130819,0.202059,28.117064,39.0,0.0,1.0
0.528167,1.05,0.573624,7.0,0.0,1716.090061,0.0,0.00975,0.010709,0.104557,0.091464,47.458055,39.0,0.449573267390123,0.0
0.544942,1.05,0.759996,5.0,0.0,1349.664695,0.0,0.01225,0.01162,0.155605,0.133872,38.510144,39.0,0.16234163977530777,0.0
fitness at iteration,4,,,,,122.161618,,,,,,,,0.0
0.500000,0.957094,0.593078,6.0,0.0,1865.471497,0.0,0.011,0.011376,0.121755,0.085649,48.83793,39.0,0.7068644079210887,0.0
0.711536,1.034539,1.277491,2.0,0.0,575.068505,0.0,0.016,0.012692,0.333617,0.268916,21.424723,39.0,0.24059929494712107,0.0
0.800000,1.05,1.001356,6.0,86.95126,540.670908,86.95126,0.011,0.009342,0.21424,0.254124,22.64757,39.0,0.0,1.0
0.500000,0.547196,0.938246,4.0,0.0,1453.839147,0.0,0.0135,0.012831,0.381776,0.136233,38.06142,39.0,1.8023753422445372,0.0
0.800000,0.896984,0.5,7.0,89.102087,877.890388,89.102087,0.00975,0.008809,0.085077,0.14334,36.772987,39.0,0.0,1.0
fitness at iteration,5,,,,,89.102087,,,,,,,,0.0
Best Solution,,,,,,,,,,,,,,
0.800000,0.896984,0.5,7.0,89.102087,877.890388,89.102087,0.00975,0.008809,0.085077,0.14334,36.772987,39.0,0.0,True
