VF:109.502573 pVF:8.000000
VF:109.500810 pVF:29.000000
VF:109.500810 pVF:29.000000
VF:109.165948 pVF:26.000000
VF:108.381614 pVF:29.000000
VF:107.562621 pVF:26.000000
VF:107.554162 pVF:24.000000
VF:106.808457 pVF:19.000000
VF:106.808457 pVF:19.000000
VF:106.808457 pVF:19.000000
VF:106.808457 pVF:19.000000
VF:106.808457 pVF:19.000000
VF:106.631820 pVF:1.000000
VF:106.631820 pVF:1.000000
VF:106.631820 pVF:1.000000
VF:106.631820 pVF:1.000000
VF:106.631820 pVF:1.000000
VF:106.631820 pVF:1.000000
VF:106.631820 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
VF:106.307583 pVF:1.000000
