D, Z, AEdAO, PdD, P_B, n,etaO,etaR, iteration, population i 
0.753160,4,1.037753,0.604884,94.611131,904.757380,0.331234,1.036355,0,1
0.737183,5,0.812540,0.635532,88.246225,870.507121,0.355691,1.034416,0,2
0.716947,5,0.857108,0.647711,90.602844,905.476939,0.346550,1.033646,0,3
0.742836,7,1.008243,0.731015,90.524638,758.578693,0.348803,1.028377,0,4
0.794628,3,0.942678,0.982134,91.499483,575.931604,0.350879,1.012494,0,5
0.694843,7,0.927584,0.701679,94.269734,879.616731,0.334016,1.030232,0,6
0.773270,5,0.837903,0.523925,89.325144,922.354408,0.349252,1.041475,0,7
0.795019,2,0.744659,0.792092,93.849116,694.013926,0.338088,1.024514,0,8
0.763761,5,1.038617,0.924391,89.365540,628.264062,0.357723,1.016146,0,9
0.780623,3,0.888848,0.838355,91.022231,668.616700,0.349461,1.021588,0,10
0.784666,3,0.965149,0.591592,95.655775,871.290871,0.327575,1.037195,0,11
0.735357,4,1.001368,0.640701,93.716549,898.089677,0.335024,1.034089,0,12
0.792510,4,0.708324,0.699247,83.741965,726.945131,0.376701,1.030386,0,13
0.696990,2,0.911114,0.842725,105.271947,829.846235,0.301723,1.021311,0,14
0.681962,6,0.998874,0.649241,95.936923,982.348738,0.327070,1.033549,0,15
0.725022,7,0.977078,0.645156,92.207234,868.164036,0.340519,1.033808,0,16
0.760404,6,0.895918,0.904778,87.800162,635.108132,0.363638,1.017386,0,17
0.673770,4,0.983999,0.636516,100.023072,1056.709147,0.313409,1.034354,0,18
0.783513,4,0.914912,0.880543,88.007426,630.494170,0.362409,1.018919,0,19
0.659855,2,0.925677,0.698004,110.673729,1062.346835,0.284248,1.030465,0,20
0.712095,5,0.947333,0.768865,92.027288,812.696766,0.343689,1.025983,0,21
0.732722,2,0.988408,1.020252,100.340950,650.337489,0.320305,1.010083,0,22
0.766154,3,0.824704,0.864316,92.774991,679.069736,0.343327,1.019946,0,23
0.795853,5,0.922734,0.761600,83.869772,668.136265,0.377584,1.026442,0,24
0.692474,3,1.008894,0.741970,100.305770,908.880017,0.314688,1.027684,0,25
0.793823,3,0.759515,0.692331,87.569727,747.685609,0.360086,1.030824,0,26
0.796111,7,1.036947,1.116114,88.522450,503.460781,0.365728,1.004019,0,27
0.685018,7,0.951042,0.773852,95.739982,843.137149,0.330265,1.025668,0,28
0.746285,3,0.719400,0.639814,91.284448,884.322189,0.343979,1.034145,0,29
0.695075,5,0.964945,0.844386,94.908276,795.478218,0.334686,1.021206,0,30
0.708521,4,0.944219,0.604884,96.448826,1000.606276,0.324641,1.036355,1,1
0.737183,5,0.812540,0.500000,0.000000,0.000000,0.000000,0.000000,1,2
0.716947,4,0.857108,0.647711,92.725283,924.076339,0.338623,1.033646,1,3
0.742836,6,1.008243,0.685325,89.491798,807.513649,0.351827,1.031267,1,4
0.794628,5,0.924896,0.982134,87.091808,562.851887,0.368636,1.012494,1,5
0.741204,3,0.927584,0.701679,94.805070,838.844462,0.332445,1.030232,1,6
0.799680,7,0.837903,0.523925,87.607450,841.167330,0.356320,1.041475,1,7
0.800000,2,0.744659,0.792092,93.367994,686.263605,0.339850,1.024514,1,8
