D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.798725,1.041223,1.008119,3.0,117.251949,605.407231,117.251949,,,,,,,,1.0
0.764735,0.848582,0.790853,2.0,126.85475,806.063131,126.85475,,,,,,,,1.0
0.766137,0.825809,0.717284,7.0,112.204813,787.673593,112.204813,,,,,,,,1.0
0.760017,0.9105,0.573285,5.0,115.958433,976.426543,115.958433,,,,,,,,1.0
0.782781,0.767472,0.577876,7.0,112.493139,880.016905,112.493139,,,,,,,,1.0
0.729193,0.828746,0.665081,5.0,115.546643,937.583909,115.546643,,,,,,,,1.0
0.737026,0.85534,0.730873,6.0,114.473281,846.846188,114.473281,,,,,,,,1.0
0.784246,0.990435,0.823769,2.0,123.821225,740.567944,123.821225,,,,,,,,1.0
0.749765,1.015235,0.735245,3.0,122.574236,863.916301,122.574236,,,,,,,,1.0
0.763597,0.80779,0.646564,2.0,126.815987,945.172953,126.815987,,,,,,,,1.0
0.772815,1.020412,1.004003,3.0,120.831664,645.464329,120.831664,,,,,,,,1.0
0.696120,0.95042,0.70461,6.0,121.214935,967.819662,121.214935,,,,,,,,1.0
0.772166,0.822445,0.72388,2.0,125.322772,848.645067,125.322772,,,,,,,,1.0
0.749346,0.939053,0.757887,6.0,114.148558,802.398765,114.148558,,,,,,,,1.0
0.778520,0.962423,0.59731,7.0,114.081393,881.022044,114.081393,,,,,,,,1.0
0.784861,0.856536,0.837748,3.0,117.809823,722.809004,117.809823,,,,,,,,1.0
0.773440,1.041528,0.749845,5.0,113.129624,777.956644,113.129624,,,,,,,,1.0
0.780850,1.031863,0.904717,3.0,118.374466,683.577975,118.374466,,,,,,,,1.0
0.753831,0.999615,0.871861,4.0,118.16969,740.406997,118.16969,,,,,,,,1.0
0.779554,0.810484,0.630288,6.0,109.733456,847.286855,109.733456,,,,,,,,1.0
0.708179,0.935796,0.659577,4.0,123.091049,1019.905733,123.091049,,,,,,,,1.0
0.688052,1.03869,0.660523,5.0,125.205443,1060.763647,125.205443,,,,,,,,1.0
0.687250,0.972099,0.668133,4.0,126.645693,1068.713351,126.645693,,,,,,,,1.0
0.732561,0.94795,0.680119,7.0,117.938013,891.210856,117.938013,,,,,,,,1.0
0.785956,0.99592,0.946382,6.0,113.041898,631.773563,113.041898,,,,,,,,1.0
0.743841,1.025673,0.786373,7.0,117.933301,782.830188,117.933301,,,,,,,,1.0
0.759232,0.9507,0.872761,7.0,115.128635,700.654913,115.128635,,,,,,,,1.0
0.788521,0.990243,0.958535,5.0,113.736437,630.876033,113.736437,,,,,,,,1.0
0.773338,0.894652,0.800905,4.0,114.157112,752.463777,114.157112,,,,,,,,1.0
0.790675,0.971868,0.713625,2.0,125.242258,821.039244,125.242258,,,,,,,,1.0
0.777390,1.041223,1.008119,3.0,119.871604,635.70237,119.871604,,,,,,,,1.0
0.764735,0.848582,0.5,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.766137,0.919785,0.755503,3.0,119.563551,813.369344,119.563551,,,,,,,,1.0
0.776369,0.9105,0.954551,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.782781,0.915668,0.710081,2.0,125.578426,839.36971,125.578426,,,,,,,,1.0
0.729193,0.828746,0.814675,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.737026,0.85534,0.730873,2.0,130.540841,915.056533,130.540841,,,,,,,,1.0
0.784246,0.936347,0.823769,2.0,124.317729,742.73551,124.317729,,,,,,,,1.0
0.749765,1.015235,0.5,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.759411,0.603445,0.5,5.0,0.0,0.0,0.0,,,,,,,,1.0
0.772815,1.020412,0.561255,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.781651,0.95042,0.628621,6.0,111.536894,853.016714,111.536894,,,,,,,,1.0
0.800000,0.74386,0.5,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.749346,0.749251,0.753669,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.787126,0.838923,0.771929,2.0,123.77605,780.031022,123.77605,,,,,,,,1.0
0.747669,0.856536,0.837748,3.0,0.0,0.0,0.0,,,,,,,,1.0
0.773440,1.041528,0.982072,2.0,123.018098,658.036696,123.018098,,,,,,,,1.0
0.780850,1.031863,0.904717,7.0,114.188417,650.01152,114.188417,,,,,,,,1.0
0.753831,0.999615,0.5,4.0,0.0,0.0,0.0,,,,,,,,1.0
0.651507,1.000443,0.630288,6.0,0.0,0.0,0.0,,,,,,,,1.0
0.708179,0.921895,0.689885,4.0,122.379441,985.237838,122.379441,,,,,,,,1.0
0.688052,1.03869,0.660523,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.800000,0.972099,0.668133,4.0,112.504238,811.707229,112.504238,,,,,,,,1.0
0.732561,0.955691,0.680119,5.0,117.047943,920.194484,117.047943,,,,,,,,1.0
0.785956,0.99592,0.549028,2.0,0.0,0.0,0.0,,,,,,,,1.0
0.752940,0.820469,0.786373,7.0,0.0,0.0,0.0,,,,,,,,1.0
0.759232,0.9507,0.872761,3.0,121.475169,741.589375,121.475169,,,,,,,,1.0
0.800000,0.990243,0.958535,2.0,121.484229,634.454046,121.484229,,,,,,,,1.0
0.800000,0.992068,1.141733,4.0,0.0,0.0,0.0,,,,,,,,1.0
0.749354,1.05,0.713625,5.0,116.369435,855.773809,116.369435,,,,,,,,1.0
fitness at iteration,1,,,,,116.369435,,,,,,,,1.0
0.798725,1.05,1.008119,5.0,114.039389,595.012515,114.039389,,,,,,,,1.0
0.764735,1.05,0.972816,4.0,118.647046,666.286491,118.647046,,,,,,,,1.0
0.766137,0.838488,0.717284,7.0,112.323851,787.870688,112.323851,,,,,,,,1.0
0.740862,1.05,0.830428,2.0,128.353976,812.102985,128.353976,,,,,,,,1.0
0.782781,0.767472,0.617653,4.0,111.176353,884.918502,111.176353,,,,,,,,1.0
0.758461,1.016947,0.653474,5.0,115.654774,894.355528,115.654774,,,,,,,,1.0
